y1	y2
-1.5155	0.612799
1.62396	-0.848773
-1.3328	-0.409093
5.53846	-0.857475
-0.302247	2.61094
-1.32545	1.29495
3.62757	2.38847
-4.22183	-3.48095
-2.35699	0.52142
-1.75293	-0.535652
-0.170432	-0.628073
1.59569	0.0673102
0.855808	1.22957
-1.21642	-2.38345
2.67922	-3.98669
-1.96549	1.20305
1.51759	1.27881
-3.38073	-1.20618
-0.318148	0.366548
3.17304	0.710658
1.22126	0.396529
-2.15898	3.58568
0.634705	-0.199855
3.00197	-2.80233
-2.40181	-2.21761
-0.642346	-1.65464
-2.34798	2.08127
-0.353219	-0.614069
2.31103	1.35635
3.4861	-1.68634
-0.318741	-0.849146
-1.43025	-1.30074
2.72259	-2.95511
3.30354	1.11753
1.40644	-1.2962
-1.85729	0.146269
4.12382	1.14716
0.796453	-1.80729
2.03161	5.30161
1.72733	0.186586
-1.61778	3.8267
-1.57755	-3.07327
1.29842	-2.03187
2.46938	0.159197
0.516409	1.16273
-5.65119	-0.138666
-2.74449	2.20483
0.289188	-1.20926
-0.566778	-1.76257
1.92587	2.92245
-2.22895	1.91681
2.09431	0.184218
-0.265179	-0.317008
1.02318	-0.950939
2.47833	1.73398
0.503721	0.91867
-2.25086	-0.40307
-0.323701	1.76594
1.44329	1.43901
-0.35699	-1.25917
-0.281213	0.701608
0.0891875	2.99526
1.68121	-1.48343
-2.63911	2.45097
-0.35424	-1.65574
-1.02689	0.538144
0.599003	1.97885
0.742996	-0.0489307
-2.00066	-1.33513
0.267284	0.478101
-2.28508	-4.112
-4.2751	1.29535
0.467362	-3.47484
-1.01785	1.53889
0.497989	0.372491
1.19381	-3.4752
2.84107	-2.11402
-0.867574	1.62378
1.65949	-0.515575
1.46571	0.687654
-2.79715	-0.894868
1.73503	0.356566
3.65872	-1.19459
0.982909	1.00047
-1.18621	-0.216773
-1.72348	0.819131
-0.66717	-0.683097
-3.44023	0.105729
0.0109762	-1.53039
-2.59735	0.32876
-0.401309	-0.140626
-1.38119	-0.112591
2.02119	0.0200417
0.450963	-0.810806
0.729964	-0.86002
-1.00918	-3.09782
0.355397	0.977746
-0.734473	-0.983462
-3.1464	-0.662189
-1.35821	-0.957516
-1.82722	3.1072
1.50216	-0.150392
2.51785	-4.03398
-1.41552	-1.27561
-0.251485	1.54238
3.19682	0.899039
-0.0295837	-2.50734
2.58735	0.797912
-1.38796	-0.913784
-0.587549	-4.10551
0.623937	-0.712066
-2.52734	0.430362
0.351693	1.12374
0.800353	3.92281
1.75089	-0.39342
1.34314	-0.181212
-2.17951	-3.32315
0.425403	-1.29425
0.757166	-1.38196
-1.47943	-3.68672
-1.29359	0.937822
0.240552	-1.58404
2.15344	-2.89829
-3.46551	0.326885
-0.0233503	0.935252
0.726568	2.72407
1.23445	2.7946
0.1611	-2.92849
-0.976429	0.683991
1.36978	-2.20965
-1.06694	0.349263
-2.14864	-2.91627
3.6693	0.634501
-1.94627	-0.898355
1.02747	-1.24255
-1.17929	-2.475
0.895224	-1.30538
0.940086	-0.221791
1.79398	-1.31998
-1.86329	-0.378847
-3.31796	-0.851011
4.24981	-0.767029
0.266742	2.06028
0.879976	2.47244
-4.53383	0.390274
-0.937556	-1.7323
-0.709801	0.260579
-0.130935	0.333526
1.22634	1.4999
0.38193	0.390366
0.0470706	-0.0778611
-1.48392	1.55539
-0.255393	2.7574
-1.5392	-0.254969
2.01534	-2.7911
-5.68027	1.24207
-0.163465	-3.08096
0.0287404	-2.54471
-4.62108	-0.629316
-1.06983	-3.91695
1.87288	-0.432913
-0.352861	3.14824
-3.67448	-0.945674
-0.337021	0.81876
-4.73053	-0.641039
-3.75871	-0.0677704
4.82369	-1.00686
0.657658	-0.03904
-2.96682	0.0765067
-1.54671	0.303881
-2.80742	-2.57449
0.853152	-0.345461
1.52889	1.80146
0.803561	-0.662587
-1.57493	-4.68719
-0.63137	-4.08186
-3.50762	0.694894
-2.32254	-1.34138
-3.46287	1.29603
2.17163	-3.27953
3.1126	-2.74236
3.22039	-3.12842
-2.88373	0.673924
2.75724	-2.1696
0.634511	2.57774
1.24977	-0.983555
1.14561	0.839252
1.57212	-1.03743
3.50801	-1.17668
0.49394	-1.84778
-0.56041	0.290091
2.01298	-2.76619
-0.806623	-2.21167
-1.28062	-0.957029
-0.203524	-3.6355
3.42455	-2.93853
0.025017	1.99304
1.85349	3.35698
1.64995	-0.399723
5.64386	1.52821
1.40305	1.20236
2.69992	-2.32198
0.370482	-0.771303
-0.82371	-4.15881
0.654334	-2.72849
-0.677641	-0.68386
0.607031	1.53628
-1.3992	-1.57368
3.49511	2.05139
1.93134	-2.43648
4.3239	-0.13167
-1.31289	2.35522
-0.257598	-1.27658
5.63101	-0.378142
1.23248	-2.32445
1.43561	0.279519
-2.15004	0.454403
0.323494	-1.69056
1.00273	0.264389
3.25614	2.27666
1.68127	-1.06445
-1.75655	-1.61479
-5.63967	-5.53201
1.60999	-1.43227
1.9673	2.71515
-0.177159	2.45202
-2.28612	2.95377
0.44839	-0.207135
0.568647	-1.15058
-0.997887	0.612115
-1.38705	2.17445
2.7537	-2.60621
1.01975	0.163091
4.79024	1.82751
0.396806	-0.682523
2.58186	1.09328
-1.20541	2.29358
-2.36396	-1.61304
1.08943	0.162864
0.0979645	-0.141879
2.72102	-1.64899
3.39345	-0.294189
2.64045	-0.17867
-3.89063	-4.19201
-4.1703	0.0549447
0.40573	1.5889
-2.60052	-2.29558
3.74767	2.88094
-0.979566	-1.49078
-0.349068	2.94031
0.955962	-3.00392
0.843641	-0.766282
-0.846492	3.02307
-1.10141	-2.40187
-4.51744	0.290739
-3.1726	-1.21503
0.777494	1.89224
1.21037	1.39608
3.24352	-1.9621
1.64442	-0.845481
1.86625	0.65094
2.99586	0.856499
-0.137202	-0.866901
-1.4917	2.60129
-1.67933	2.03116
0.00383533	-2.88471
-0.0203621	1.27718
1.96516	0.169387
0.982899	-1.82533
-1.22603	-1.72833
-3.84132	-1.67168
-1.72798	2.89666
2.75166	2.34539
0.106114	0.123188
1.04544	4.23965
3.33194	-0.0502741
-0.23314	-0.753735
4.29609	0.245113
-0.958433	-4.62479
-0.0958148	-2.36926
-0.705757	4.03763
-1.76338	2.75365
-0.36167	-0.25371
-1.28912	1.63557
1.19845	0.0647267
1.68322	0.533692
-1.60543	0.61381
-1.18799	2.76457
1.94089	0.598149
-0.743328	-0.400905
-1.25547	-0.254573
2.26268	0.830138
-1.00474	3.73678
-2.3017	-3.19198
-0.541268	-0.015438
3.30081	-1.31666
-2.38332	-1.59537
-1.2922	1.60212
0.418551	0.492825
2.03666	-2.80584
1.36091	-6.32149
-2.12155	1.37834
-0.0744396	-1.27479
-0.553488	-0.205702
-0.686578	-1.60797
-2.98925	-0.569499
0.115733	0.120649
1.92772	1.57453
1.98177	1.84883
-1.06843	-2.98188
-1.26489	-1.25111
3.68047	0.130455
-0.4326	-1.42108
1.85757	-4.44473
1.54438	0.0628618
1.91495	1.81158
-3.97647	-0.169935
6.90468	-3.83846
4.11336	-0.895693
-1.24279	-0.917871
-1.71081	-0.787203
-1.43587	1.54819
2.70317	1.34797
1.1559	-0.956706
0.288348	2.5558
2.77164	0.99725
1.74311	0.873774
2.98524	0.358405
-1.52156	0.26883
-1.50877	4.64866
-1.88789	-0.599489
4.88306	-3.1738
1.35326	1.37234
3.90275	0.706718
0.475669	4.39587
1.98069	4.09475
-0.862062	-1.72814
-1.25155	2.7338
1.01214	0.198217
-1.97944	0.761677
-1.82988	3.04672
-1.12256	-1.92572
-2.16523	0.103601
-3.24809	0.474528
-0.868889	0.728297
1.63037	0.847009
-3.03102	2.97962
-2.27164	0.240266
4.80989	1.99945
1.87427	-1.83468
0.0024525	2.82269
0.948819	1.45166
0.873153	-0.0822536
-1.76045	0.48193
0.156773	0.260978
0.364166	1.62664
-3.46791	0.667028
-0.45859	-2.23667
-0.252501	1.6548
-2.39488	0.319028
-2.99274	2.13465
1.4792	1.34309
-0.457663	-1.1432
1.29151	-3.12092
-2.15045	-0.263178
0.381605	0.603201
1.07278	-3.85196
3.23203	1.47865
-1.06463	1.46318
0.501776	-2.20899
1.29975	2.04699
-3.52513	-0.0733103
-1.39296	-1.96372
0.5621	-2.71902
-1.73003	1.88127
2.62664	2.48768
0.989451	0.0931393
-0.979038	-2.37196
2.65316	-1.12354
-2.27987	0.233139
1.37627	-0.744713
0.913647	0.4416
0.120177	-0.91961
3.47247	-0.361005
1.33106	-1.29644
2.48182	-1.71301
-1.35517	0.557009
1.03526	-1.69789
-0.350174	1.11541
-1.09938	-0.843643
-0.978958	-0.503843
-0.0353356	-1.66882
2.10781	0.957645
-0.564802	-1.52404
2.43454	-2.23565
-0.516171	-0.147521
-0.795707	-1.75098
-3.33495	3.05833
4.13344	-2.64411
-2.18359	0.627056
-0.457196	1.48579
4.74346	-0.39452
3.00306	-2.24154
-2.53737	0.436817
-1.44816	3.42072
2.85772	2.05163
-0.385943	-2.98916
-1.28786	0.14101
-0.595985	-0.140887
0.193622	-1.37876
3.4763	-0.767672
-1.59125	2.75504
-0.867853	-0.851851
1.6384	-4.08386
0.390081	2.44188
-0.432945	-2.94388
-0.0159495	1.17283
0.591146	-5.01256
2.1121	4.4574
-1.04634	-0.818949
2.49113	-1.57328
-0.104187	-0.397467
0.891289	2.39222
-2.38285	-1.09938
-3.10635	-1.62982
4.28717	2.16516
-1.96061	3.936
-1.84925	1.61576
3.08534	-1.32035
0.836618	-0.553149
-0.0643127	1.51965
-1.27013	-0.428196
-1.80573	2.42056
-2.05264	2.18926
-1.91465	4.34629
1.93898	2.24989
-0.138985	-4.19041
3.98984	0.395598
-0.94882	0.82297
0.117196	-1.17094
-0.0187597	2.02268
1.09833	-3.05448
-0.292092	-1.11275
-3.77181	2.69873
-1.16502	1.09587
2.14079	-2.52912
1.81484	-1.23156
-1.21151	-1.68675
-0.0985631	1.6513
-2.3094	-1.48629
-2.09984	1.74694
1.57812	-0.934505
-0.418101	-0.63149
-1.60571	1.02604
-3.67591	-0.574387
-0.494516	-1.38603
1.24911	-1.23515
3.33727	0.423559
-0.219483	-1.2794
-0.837296	-0.0436117
0.887416	2.82756
0.707698	2.33681
0.796346	1.25375
-1.96094	1.48736
-0.344929	0.91068
1.19534	0.474512
1.8103	0.309119
3.83683	-1.49487
3.01683	-0.511784
0.224574	-0.115123
-1.49174	4.01852
0.263381	-1.52024
-0.688021	-0.615748
1.22497	-0.622567
1.15718	2.35343
-2.9434	-2.40462
1.2284	-0.85805
1.39052	-1.72687
1.24922	-1.46485
0.156228	0.738686
1.34998	0.664827
-0.58526	2.46431
-0.172326	-2.80609
1.39443	1.40533
-0.129531	-0.169892
-3.91037	-1.62042
-1.13192	1.50778
1.50474	-1.30527
1.74573	1.01176
1.0624	-0.30556
1.69502	-1.49912
-0.727066	-1.90352
3.37059	2.81921
1.70042	-5.01056
1.22206	5.46113
-1.62756	-0.585499
0.0952718	1.33516
-1.73046	5.59179
-2.06824	1.31413
-1.77493	1.5183
0.610299	0.928187
1.36161	0.405463
-1.97261	3.56835
0.010644	0.276997
2.03963	4.99404
0.909727	-1.3589
4.00371	-0.9169
0.542915	-3.92235
-0.2628	0.493052
-3.7834	1.22142
-1.43636	1.6578
-0.316036	-1.10939
0.123801	-0.801892
-0.761681	3.55196
2.41624	3.41202
1.56223	-1.4939
-1.52293	1.95082
-0.412133	-1.22708
1.88142	-0.188821
-1.13683	-0.792203
0.591438	1.53063
-2.75588	5.64383
0.837415	1.40588
2.35285	-2.31311
1.02023	-1.27044
2.34046	1.66474
3.01006	2.86999
0.587369	-3.09597
